Date,Close ,Open,Hign,Low,Volume,Percent
2014年3月13日,484.25,483.75,486.25,477.5,1.12K,0.00%
2014年3月12日,484.25,477.75,484.5,472,1.04K,1.31%
2014年3月11日,478,471.75,480,468.25,1.33K,1.27%
2014年3月10日,472,479,481.25,470.25,1.56K,-1.87%
2014年3月7日,481,485.25,495,478,7.13K,-0.98%
2014年3月6日,485.75,474.25,487.25,473.75,4.26K,2.21%
2014年3月5日,475.25,475,481,472.25,6.73K,-0.31%
2014年3月4日,476.75,462.75,477.5,458,10.94K,2.75%
2014年3月3日,464,459,476.25,457.25,20.82K,1.42%
2014年2月28日,457.5,448,458.75,447.75,36.98K,2.12%
2014年2月27日,448,455,458,447,140.68K,-1.65%
2014年2月26日,455.5,454.75,459,452,113.29K,-0.05%
2014年2月25日,455.75,451,456.25,448.25,123.59K,0.94%
2014年2月24日,451.5,451.5,452.75,445.5,141.75K,-0.33%
2014年2月21日,453,455.5,456.5,450.25,145.58K,-0.60%
2014年2月20日,455.75,453.25,456.5,451,191.96K,0.44%
2014年2月19日,453.75,448.5,455.25,448.25,243.33K,0.95%
2014年2月18日,449.5,445,450,444.5,140.68K,0.95%
2014年2月14日,445.25,440.25,446,438,177.42K,1.08%
2014年2月13日,440.5,439.75,442,439,174.15K,0.11%
2014年2月12日,440,440.75,445.75,439.25,209.92K,-0.34%
2014年2月11日,441.5,442.75,444,437.25,221.22K,-0.34%
2014年2月10日,443,442.75,449,440,252.41K,-0.28%
2014年2月7日,444.25,442.5,445,440.5,171.62K,0.28%
2014年2月6日,443,442.5,447.25,441.25,191.09K,-0.06%
2014年2月5日,443.25,441,444,439,169.91K,0.34%
2014年2月4日,441.75,435.5,442,434.5,179.80K,1.38%
2014年2月3日,435.75,433.5,438.75,433.25,167.84K,0.40%
2014年1月31日,434,432.5,434.75,431.25,135.05K,0.12%
2014年1月30日,433.5,427.5,434.5,427.25,174.53K,1.40%
2014年1月29日,427.5,431.25,431.75,427,147.43K,-1.04%
2014年1月28日,432,431,433.75,430.75,118.86K,0.06%
